@relation jobs_in_data

@attribute job_category {'Data Architecture and Modeling','Data Science and Research','Machine Learning and AI','Data Engineering','Data Analysis','Leadership and Management','BI and Visualization','Data Management and Strategy','Data Quality and Operations','Cloud and Database'}
@attribute experience_level {Senior,Mid-level,Executive,Entry-level}
@attribute work_setting {In-person,Remote,Hybrid}
@attribute company_size {M,L,S}
@attribute salary_in_usd numeric

@data
'Data Architecture and Modeling',Senior,In-person,M,186000
'Data Architecture and Modeling',Senior,In-person,M,81800
'Data Science and Research',Senior,In-person,M,212000
'Data Science and Research',Senior,In-person,M,93300
'Data Science and Research',Senior,Remote,M,130000
'Data Science and Research',Senior,Remote,M,100000
'Machine Learning and AI',Mid-level,In-person,M,224400
'Machine Learning and AI',Mid-level,In-person,M,138700
'Data Engineering',Executive,Remote,M,210000
'Data Engineering',Executive,Remote,M,168000
'Machine Learning and AI',Senior,In-person,M,224400
'Machine Learning and AI',Senior,In-person,M,138700
'Data Analysis',Entry-level,In-person,M,95000
'Data Analysis',Entry-level,In-person,M,75000
'Data Science and Research',Senior,In-person,M,300000
'Data Science and Research',Senior,In-person,M,234000
'Leadership and Management',Mid-level,In-person,M,140000
'Leadership and Management',Mid-level,In-person,M,120000
'Machine Learning and AI',Mid-level,In-person,M,204500
'Machine Learning and AI',Mid-level,In-person,M,142200
'Data Analysis',Mid-level,In-person,M,155000
'Data Analysis',Mid-level,In-person,M,110000
'Machine Learning and AI',Senior,In-person,M,266500
'Machine Learning and AI',Senior,In-person,M,152000
'Data Science and Research',Mid-level,In-person,L,222200
'Data Science and Research',Mid-level,In-person,L,136000
'Machine Learning and AI',Senior,In-person,M,273400
'Machine Learning and AI',Senior,In-person,M,182200
'BI and Visualization',Senior,In-person,M,167500
'BI and Visualization',Senior,In-person,M,106500
'Data Engineering',Senior,In-person,M,185900
'Data Engineering',Senior,In-person,M,129300
'BI and Visualization',Mid-level,In-person,L,185000
'BI and Visualization',Mid-level,In-person,L,79600
'Data Engineering',Senior,In-person,M,122000
'Data Engineering',Senior,In-person,M,94500
'Data Engineering',Senior,In-person,M,247300
'Data Engineering',Senior,In-person,M,139700
'Data Analysis',Senior,In-person,M,176000
'Data Analysis',Senior,In-person,M,100000
'Machine Learning and AI',Senior,In-person,M,204500
